"","fips","state_id","county","UnempRate","Population","PercBach","MinorityRate","cases","deaths"
"1",1001,"AL","Autauga County, AL","Low","Low","High","High",370312,5683
"2",1003,"AL","Baldwin County, AL","Low","Low","High","Low",1501508,24281
"3",1005,"AL","Barbour County, AL","High","Low","Low","High",209056,2520
"4",1007,"AL","Bibb County, AL","High","Low","Low","High",1240216,33211
"5",1009,"AL","Blount County, AL","Low","Low","Low","Low",961745,10207
"6",1011,"AL","Bullock County, AL","Low","Low","Low","High",119627,3163
"7",1013,"AL","Butler County, AL","High","Low","Low","High",3020948,45139
"8",1015,"AL","Calhoun County, AL","High","Low","Low","High",1886012,37917
"9",1017,"AL","Chambers County, AL","High","Low","Low","High",535447,12601
"10",1019,"AL","Cherokee County, AL","Low","Low","Low","Low",2509424,40122
"11",1021,"AL","Chilton County, AL","Low","Low","Low","Low",290417,4775
"12",1023,"AL","Choctaw County, AL","High","Low","Low","High",196980,4598
"13",1025,"AL","Clarke County, AL","High","Low","Low","High",1389954,20822
"14",1027,"AL","Clay County, AL","Low","Low","Low","High",2512056,50879
"15",1029,"AL","Cleburne County, AL","Low","Low","Low","Low",169251,4156
"16",1031,"AL","Coffee County, AL","Low","Low","Low","High",1034170,16086
"17",1033,"AL","Colbert County, AL","High","Low","Low","High",381668,5400
"18",1035,"AL","Conecuh County, AL","High","Low","Low","High",101787,2246
"19",1037,"AL","Coosa County, AL","Low","Low","Low","High",41502,651
"20",1039,"AL","Covington County, AL","Low","Low","Low","Low",462424,10074
"21",1041,"AL","Crenshaw County, AL","Low","Low","Low","High",100927,4377
"22",1043,"AL","Cullman County, AL","Low","Low","Low","Low",492852,4765
"23",1045,"AL","Dale County, AL","Low","Low","Low","High",292562,7363
"24",1047,"AL","Dallas County, AL","High","Low","Low","High",17823910,237981
"25",1049,"AL","DeKalb County, AL","Low","Low","Low","Low",5401884,91597
"26",1051,"AL","Elmore County, AL","Low","Low","High","High",657655,10636
"27",1053,"AL","Escambia County, AL","High","Low","Low","High",2624851,46572
"28",1055,"AL","Etowah County, AL","High","Low","Low","High",773675,9532
"29",1057,"AL","Fayette County, AL","Low","Low","Low","Low",3613942,51720
"30",1059,"AL","Franklin County, AL","Low","Low","Low","Low",10867139,218177
"31",1061,"AL","Geneva County, AL","Low","Low","Low","Low",135561,1110
"32",1063,"AL","Greene County, AL","High","Low","Low","High",3436801,66823
"33",1065,"AL","Hale County, AL","High","Low","Low","High",589875,16898
"34",1067,"AL","Henry County, AL","Low","Low","Low","High",2529359,40412
"35",1069,"AL","Houston County, AL","Low","Low","Low","High",1478038,25170
"36",1071,"AL","Jackson County, AL","Low","Low","Low","Low",5185892,90335
"37",1073,"AL","Jefferson County, AL","High","Low","High","High",15825803,309081
"38",1075,"AL","Lamar County, AL","Low","Low","Low","Low",846003,18874
"39",1077,"AL","Lauderdale County, AL","Low","Low","High","Low",1154481,35776
"40",1079,"AL","Lawrence County, AL","Low","Low","Low","High",1697629,38325
"41",1081,"AL","Lee County, AL","Low","Low","High","High",7279484,145230
"42",1083,"AL","Limestone County, AL","Low","Low","High","High",605528,6976
"43",1085,"AL","Lowndes County, AL","High","Low","Low","High",1336373,30891
"44",1087,"AL","Macon County, AL","High","Low","Low","High",1126553,24443
"45",1089,"AL","Madison County, AL","Low","Low","High","High",7167895,123804
"46",1091,"AL","Marengo County, AL","High","Low","Low","High",171051,4058
"47",1093,"AL","Marion County, AL","Low","Low","Low","Low",11139856,313433
"48",1095,"AL","Marshall County, AL","Low","Low","Low","Low",2461176,33656
"49",1097,"AL","Mobile County, AL","High","Low","High","High",2670605,60927
"50",1099,"AL","Monroe County, AL","High","Low","Low","High",5435794,166229
"51",1101,"AL","Montgomery County, AL","High","Low","High","High",17144036,540993
"52",1103,"AL","Morgan County, AL","Low","Low","Low","High",1889018,36521
"53",1105,"AL","Perry County, AL","High","Low","Low","High",875485,17856
"54",1107,"AL","Pickens County, AL","High","Low","Low","High",1027224,15334
"55",1109,"AL","Pike County, AL","Low","Low","High","High",1217585,25991
"56",1111,"AL","Randolph County, AL","Low","Low","Low","High",1545414,31971
"57",1113,"AL","Russell County, AL","Low","Low","Low","High",530469,4573
"58",1115,"AL","St. Clair County, AL","Low","Low","Low","Low",2675125,67080
"59",1117,"AL","Shelby County, AL","Low","Low","High","High",9042710,134995
"60",1119,"AL","Sumter County, AL","High","Low","Low","High",1413873,47209
"61",1121,"AL","Talladega County, AL","High","Low","Low","High",438953,6191
"62",1123,"AL","Tallapoosa County, AL","High","Low","Low","High",267423,19340
"63",1125,"AL","Tuscaloosa County, AL","High","Low","High","High",1660844,23215
"64",1127,"AL","Walker County, AL","Low","Low","Low","Low",1575799,33502
"65",1129,"AL","Washington County, AL","High","Low","Low","High",10598749,179119
"66",1131,"AL","Wilcox County, AL","High","Low","Low","High",170519,7781
"67",1133,"AL","Winston County, AL","Low","Low","Low","Low",330986,6764
"68",2016,"AK","Aleutians West Census Area, AK","Low","Low","Low","High",17883,0
"69",2020,"AK","Anchorage Borough/municipality, AK","High","Low","Low","High",1448355,7992
"70",2050,"AK","Bethel Census Area, AK","High","Low","High","High",102289,364
"71",2060,"AK","Bristol Bay Borough, AK","High","Low","Low","High",30,0
"72",2068,"AK","Denali Borough, AK","High","Low","High","High",3828,0
"73",2070,"AK","Dillingham Census Area, AK","High","Low","High","High",9438,38
"74",2090,"AK","Fairbanks North Star Borough, AK","Low","Low","Low","High",335620,2176
"75",2100,"AK","Haines Borough, AK","High","Low","High","High",2224,0
"76",2105,"AK","Hoonah-Angoon Census Area, AK","High","Low","High","High",0,0
"77",2110,"AK","Juneau Borough/city, AK","High","Low","Low","High",86134,300
"78",2122,"AK","Kenai Peninsula Borough, AK","High","Low","High","High",225097,673
"79",2130,"AK","Ketchikan Gateway Borough, AK","High","Low","High","High",20323,0
"80",2150,"AK","Kodiak Island Borough, AK","Low","Low","High","High",33528,30
"81",2158,"AK","Kusilvak Census Area, AK","High","Low","High","High",32264,81
"82",2164,"AK","Lake and Peninsula Borough, AK","High","Low","Low","High",0,0
"83",2180,"AK","Nome Census Area, AK","High","Low","High","High",19998,0
"84",2185,"AK","North Slope Borough, AK","Low","Low","Low","High",41807,48
"85",2188,"AK","Northwest Arctic Borough, AK","High","Low","Low","High",31903,0
"86",2195,"AK","Petersburg Borough, AK","High","Low","Low","High",2869,0
"87",2198,"AK","Prince of Wales-Hyder Census Area, AK","High","Low","Low","High",5825,64
"88",2220,"AK","Sitka Borough/city, AK","High","Low","Low","High",17570,0
"89",2240,"AK","Southeast Fairbanks Census Area, AK","High","Low","High","High",21088,119
"90",4003,"AZ","Cochise County, AZ","High","Low","Low","Low",477826,12646
"91",4005,"AZ","Coconino County, AZ","High","Low","Low","High",990105,31510
"92",4007,"AZ","Gila County, AZ","High","Low","High","High",327380,11344
"93",4009,"AZ","Graham County, AZ","Low","Low","Low","High",260554,5653
"94",4011,"AZ","Greenlee County, AZ","Low","Low","High","Low",22228,410
"95",4012,"AZ","La Paz County, AZ","High","Low","High","High",126102,3091
"96",4013,"AZ","Maricopa County, AZ","High","Low","Low","High",30076329,608930
"97",4015,"AZ","Mohave County, AZ","High","Low","Low","Low",882293,42176
"98",4017,"AZ","Navajo County, AZ","High","Low","Low","High",1323733,46741
"99",4019,"AZ","Pima County, AZ","High","Low","Low","Low",5390442,124265
"100",4021,"AZ","Pinal County, AZ","High","Low","High","High",2313603,40119
"101",4023,"AZ","Santa Cruz County, AZ","High","Low","Low","Low",1161637,15638
"102",4025,"AZ","Yavapai County, AZ","High","Low","Low","Low",671350,16745
"103",4027,"AZ","Yuma County, AZ","High","Low","High","Low",2763768,62392
"104",5001,"AR","Arkansas County, AR","Low","Low","Low","High",99987,1978
"105",5003,"AR","Ashley County, AR","High","Low","High","High",99075,1835
"106",5005,"AR","Baxter County, AR","Low","Low","Low","Low",115503,2229
"107",5007,"AR","Benton County, AR","Low","Low","High","Low",3318334,58251
"108",5009,"AR","Boone County, AR","Low","Low","Low","Low",2591455,33899
"109",5011,"AR","Bradley County, AR","Low","Low","Low","High",726701,5621
"110",5013,"AR","Calhoun County, AR","Low","Low","Low","High",1886012,37917
"111",5015,"AR","Carroll County, AR","Low","Low","High","Low",2260927,67235
"112",5017,"AR","Chicot County, AR","High","Low","Low","High",171422,3198
"113",5019,"AR","Clark County, AR","Low","Low","Low","High",17233114,317066
"114",5021,"AR","Clay County, AR","Low","Low","Low","Low",2512056,50879
"115",5023,"AR","Cleburne County, AR","High","Low","Low","Low",169251,4156
"116",5025,"AR","Cleveland County, AR","Low","Low","Low","Low",1930046,31994
"117",5027,"AR","Columbia County, AR","High","Low","High","High",2307534,47395
"118",5029,"AR","Conway County, AR","Low","Low","Low","Low",72955,981
"119",5031,"AR","Craighead County, AR","Low","Low","Low","High",730103,7674
"120",5033,"AR","Crawford County, AR","Low","Low","Low","Low",1524601,16985
"121",5035,"AR","Crittenden County, AR","High","Low","Low","High",454771,8552
"122",5037,"AR","Cross County, AR","Low","Low","Low","High",98229,2659
"123",5039,"AR","Dallas County, AR","Low","Low","High","High",17823910,237981
"124",5041,"AR","Desha County, AR","High","Low","Low","High",69245,1032
